AB01,RÍO TUS,38.444667,-2.361769
JA03,CORTIJOS NUEVOS,38.25407,-2.65816
JA04,CASTILLO DE LOCUBÍN,37.52571,-3.82874
JA05,QUESADA,37.78642,-3.03882
JA06,JAÉN,37.76825,-3.80195
JA07,CHARCO DEL ACEITE,38.16316,-2.87369
JA08,OTIÑAR / EMBALSE DE QUIEBRAJANO,37.61884,-3.76334
JA09,GARCÍEZ / JIMENA,37.78625,-3.48308
JA10,MOGÓN,38.15716,-3.034
JA11,LOS VILLARES,37.63084,-3.77492
JA12,CASILLAS DE MARTOS,37.60736,-4.01686
JA13,LA GUARDIA DE JAÉN,37.73965,-3.72063
JA14,LA TOBA,38.12883,-2.59168
JA15,HORNOS EL VIEJO,38.11081,-2.62747
JA16,JUNTAS DE MILLER,38.19516,-2.48364
LE01,TRUCHAS,42.20614,-6.55174
LE02,MOLINASECA,42.48868,-6.36152
LE03,RÍO CABRERA,42.29301,-6.67094
LE04,POMBRIEGO,42.39663,-6.73123
LE05,TEJEDO,42.86851,-6.81833
LE06,VEGACERVERA,42.90865,-5.55825
LE06e,PONFERRADA,42.45473,-6.63228
LE07,BENUZA,42.38041,-6.67527
LE08,RÍO CABRERA,42.39351,-6.62451
LE09,HERRERÍAS,42.7127,-7.02618
LE10,CAÍN,43.12482,-4.98162
LE11,PONFERRADA,42.42803,-6.54117
LE12,LA BAÑA,42.31366,-6.73145
LE13,PONFERRADA,42.36671,-6.46106
LE14,TURIENZO - CASTAÑEDO,42.5499,-6.41638
LE15,CAÍN,43.10664,-4.87656
LE16,MATARROSA DEL SIL,42.75646,-6.56976
LE17,CARUCEDO,42.4487,-6.75112
LL01,SOLSONA,42.17638,1.54109
LL02,BOÍ Y TAÜLL,42.47957,0.86725
LL03,MARTINET DE CERDANYA,42.43088,1.66693
LL04,AINET DE CARDÓS,42.67833,1.21929
LL05,C-13 / ESPOT,42.58219,1.01027
LL06,SENTERADA,42.35772,0.84204
LL07,TUIXENT,42.25031,1.65071
LL08,ESTERRI D'ANEU,42.66354,0.9831
LL09,VIELHA,42.71141,0.94767
LL10,RIALP / LLAVORSÍ,42.42897,1.21188
LL11,BOSSOST,42.76916,0.66022
LL12,PONTS,42.05482,1.08983
LL13,VILALLER,42.62427,0.76464
LL14,COLL DE NARGÓ,42.16967,1.18508
LL15,ADRALL,42.37024,1.23525
LL16,TORRE DE CAPDELLA,42.50719,0.99014
LL17,TUIXENT,42.21476,1.52688
LL18,ES BORDÈS,42.6785,0.70543
LL19,ORRIT / ODÉN,42.14368,1.50064
LL20,AGER,42.04827,0.74268
LL21,PONT D'ARROS,42.77655,0.83249
LP01,SAN NICOLÁS / CARRIZAL,27.95925,-15.62666
LP02,ARRIETA,29.11795,-13.52024
LP03,AGÜIMES,27.93715,-15.51216
LP04,ARUCAS,28.0059,-15.59952
LP05,CRUCE DE SARDINA,27.94914,-15.5659
LP06,CARRIZAL,27.96374,-15.57173
LP07,SANTA MARÍA DE GUÍA,28.02556,-15.61222
LP08,MOGÁN,27.91896,-15.68736
LP09,TUINEJE,28.4382,-14.05038
LP10,SAN NICOLÁS / ACUSA,28.05557,-15.68101
LR01,BRIEVA DE CAMEROS,42.16192,-2.75719
LR02,POSADAS,42.21697,-3.10111
LR03,VINIEGRA DE ABAJO,42.09636,-2.79023
LR04,LR-113,42.23081,-2.87
LR05,ROBRES DEL CASTILLO,42.24969,-2.36001
LR06,SANTURDE,42.31865,-2.92554
LR07,EZCARAY,42.25679,-2.97266
LR08,ALBERITE,42.35167,-2.41993
LR09,MEDRANO / DAROCA,42.32782,-2.61617
LR10,EZCARAY,42.31267,-2.96223
LR11,VALLE DEL IREGUA,42.23616,-2.56935
LR12,SAN VICENTE DE LA SONSIERRA,42.61831,-2.7318
LR13,VILLANUEVA DE CAMEROS,42.05554,-2.5377
LR14,JALÓN DE CAMEROS,42.13112,-2.56533
LU01,BALDOMIR,42.54517,-7.21458
LU02,A COVELA,42.41577,-7.37545
LU03,VIVEIRO,43.47938,-7.68395
LU04,VILANOVA,42.74033,-7.0008
LU05,RÍO NAVIA,43.13929,-6.95714
LU06,PONTE DO LOUZARÁ,42.66729,-7.21801
LU07,DOIRAS,42.72574,-6.98936
LU08,SEOANE DO COUREL,42.71248,-7.12623
LU09,SEOANE DO COUREL (CAMPING),42.61427,-7.097
LU10,NAVIA DE SUARNA,42.92213,-6.96187
LU11,QUIROGA,42.56619,-7.09144
LU12,PAN DO ZARCO,42.86851,-6.81833
LU13,LARXENTES,42.95559,-6.90783
LU14,AS NOGAIS,42.73691,-7.1149
LU15,SAN CLODIO,42.42646,-7.31795
LU16,RÍO EO / ACEBO,43.24444,-7.16809
LU17,CHAO DE POUSADOIRO,43.21267,-7.24883
LU18,SAN ROMÁN DE CERVANTES,42.83309,-6.95008
LU19,A TORRE / PEREIRO,43.4707,-7.5483
LU20,FREXULFE / O CADRAMÓN,43.49687,-7.55497
LU21,RÍO EO / SAN PAIO,43.27244,-7.12578
MA01,ZARZALEJO,40.57242,-4.20367
MA02,PONTÓN DE LA OLIVA,40.89473,-3.50278
MA02e,GUADARRAMA,40.67574,-4.16275
MA03,M-604 / CANENCIA,40.86835,-3.76379
MA04,MIRAFLORES DE LA SIERRA,40.82852,-3.8326
MA05,COLLADO VILLALBA,40.78493,-3.98006
MA06,LOZOYA,40.98652,-3.81401
MA07,EL PAULAR (RASCAFRÍA),40.82344,-3.96214
MA08,SAN LORENZO DEL ESCORIAL,40.61628,-4.17641
MA09,GUADARRAMA,40.71015,-4.14
MA10,LA PUEBLA DE LA SIERRA,41.04015,-3.48016
ML01,MARBELLA / OJÉN,36.57983,-4.88536
ML02,ESTACIÓN DE CÁRTAMA,36.81162,-4.62554
ML03,JIMENA DE LÍBAR,36.67979,-5.21068
ML04,PERIANA (SUR),36.97002,-4.2191
ML05,EL BURGO,36.78887,-5.04854
ML06,ESTACIÓN DE COLMENAR,36.59883,-5.37341
ML07,RÍO GENAL,36.52004,-5.32494
ML08,GAUCÍN,36.55674,-5.28976
ML09,VILLANUEVA DE LA CONCEPCIÓN,36.95269,-4.54461
ML10,MÁLAGA,36.81142,-4.36928
ML11,DESFILADERO DE LOS GAITANES,36.90019,-4.76947
ML12,RÍO DE LA MIEL,36.79121,-3.76713
ML13,RÍO GENAL / PUJERRA,36.61184,-5.07431
ML14,PUENTE DE DON MANUEL,36.95246,-4.12334
ML15,BENALMÁDENA,36.60422,-4.59592
ML16,RÍO DE LA CUEVA,36.89399,-4.31278
ML17,ESTEPONA,36.4833,-5.20014
ML18,COMARES,36.80281,-4.29177
ML19,RÍO GENAL,36.66196,-5.20325
MU01,CUESTAS DEL MARQUÉS,37.86437,-1.52917
MU02,LA GARAPACHA,38.27915,-1.16378
MU03,CARTAGENA,37.58119,-0.96502
MU04,LAS LIBRILLERAS,37.55763,-1.56468
MU05,SAN JOSÉ,37.9433,-1.0912
MU06,RM-424,38.50106,-1.02847
MU06e,MU-603,37.84418,-1.27099
MU07,TAZONA,38.23188,-2.03537
MU08,RICOTE,38.14752,-1.38483
MU09,MORATALLA,38.17702,-1.97794
MU10,ALHAMA DE MURCIA,37.86231,-1.57345
MU11,CAMPILLO DE ADENTRO,37.55179,-1.15196
MU12,CARAVACA DE LA CRUZ,38.1268,-1.91733
NA01,OTXAGABIA,42.97404,-0.99424
NA02,INDARTE ERREKA,43.2143,-1.44011
NA03,UHARTE - ARAKIL,42.95245,-1.96462
NA04,OIARTZUN,43.26482,-1.75917
NA05,ISABA (BELAGUA),42.969,-0.76825
NA06,OTXAGABIA,42.95724,-1.13524
NA07,LIZÁRRAGA,42.86203,-2.00876
NA08,ETXAURI,42.78591,-1.84429
NA09,ELIZONDO,43.17837,-1.54543
NA10,MUGAIRE,43.04906,-1.61464
NA11,OLAZAGUTIA,42.80217,-2.14841
NA12,BIGÜEZAL,42.64487,-1.19542
NA13,IRURITA,43.05015,-1.53886
NA14,ARNEGI,43.02198,-1.27639
NA15,ISABA,42.84612,-0.91693
OU01,FECES DE CIMA,41.84405,-7.3436
OU02,ALBARELLOS,42.00967,-7.54795
OU03,FONDEVILA,41.76747,-8.14662
OU04,LAZA,42.10953,-7.40823
OU05,A MEDUA,42.31366,-6.73145
OU06,PUENTE BIBEI / MANZANEDA,42.25827,-7.30003
OU07,CASTRELO DO VAL,42.0384,-7.35086
OU08,SOUTELO VERDE,42.11413,-7.54186
OU09,AS ERMITAS,42.24054,-7.09618
OU10,EMBALSE VIANA DO BOLO,42.13423,-7.0158
OU11,VILOIRA,42.34606,-6.96221
OU12,MONTEFURADO,42.41074,-7.28062
OU13,PETÍN,42.36116,-7.06458
OU14,A FRIEIRA / PONTEBARXAS,42.07172,-8.18349
PA01,SALCEDILLO,42.9674,-4.33714
PA02,AVIÑANTE,42.84907,-4.71187
PA03,VENTANILLA,42.90948,-4.64488
PO01,MARCÓN,42.3944,-8.59306
PO02,FILGUEIRA,42.20692,-8.22612
PO03,PONTEAREAS,42.22895,-8.31657
PO04,MARÍN / SAN XULIÁN,42.35332,-8.67546
PO05,BAIONA,42.07066,-8.83037
PO06,CERDEDO,42.49346,-8.36444
PO07,CATOIRA,42.6321,-8.698
PO08,PALMÁS,42.31577,-8.70462
PO09,VIGO / FREIXO,42.17022,-8.735
PO10,MONDÁRIZ / COVELO,42.26488,-8.29705
PO11,REBORDANS / SAN FINS,42.08457,-8.68039
PO12,ARBO / CABEIRAS,42.12192,-8.35308
PO13,RÍO DEVA,42.16655,-8.3523
PO14,RÍO TERMES,42.13395,-8.41306
PR01,AMARANTE,41.24822,-7.88527
PR02,PUENTE CARRASQUEIRA,37.31634,-8.59416
PR03,FUNCHAL,,
PR04,SEIA,40.40484,-7.57443
PR05,SERRA DE AGUA,32.74514,-17.05735
PR06,VILAR,39.17386,-9.0604
PR07,COVILHA,40.32212,-7.61276
PR08,SAO VICENTE,32.75434,-17.01882
PR09,LOUSA,40.09079,-8.17845
PR10,MODEIM DE BASTO,41.41605,-7.91617
PR11,VILA REAL,41.35072,-7.79296
PR12,CELORICO DE BASTO,41.41241,-8.06357
PR13,FUNCHAL,32.71041,-16.96223
PR14,LAGOA,,
PR15,HORTA,,
PR16,PONTA DELGADA,,
PR17,SANTANA,,
PR18,CAMPO DE BESTEIROS,40.5487,-8.20188
PR19,RIBA DO MOURO,42.01005,-8.29273
PR20,SÁ / SAN GREGORIO,42.05428,-8.17229
PR21,ESTRADA N-221,41.04239,-6.86007
SA01,RÍO AMBROZ,40.31509,-5.90996
SA02,PRESA,41.04133,-6.76818
SA03,BÉJAR,40.3359,-5.73229
SA04,PRESA,41.20688,-6.63916
SA05,ABADÍA,40.32135,-5.97631
SA06,EL CABACO,40.51284,-6.16799
SA07,LAS MESTAS,40.47243,-6.11954
SA08,BÉJAR,40.35546,-5.69015
SA09,LA REGAJERA,40.48972,-6.09212
SC01,LOS CANCAJOS / SAN ANTONIO,28.61223,-17.83305
SC02,TIERRA DEL TRIGO,28.32494,-16.79681
SC03,TAGANANA,28.55036,-16.19974
SC04,SANTA CRUZ DE TENERIFE,28.2548,-16.62585
SC05,SANTA CRUZ DE LA PALMA,28.75444,-17.88527
SC06,LA LAGUNA,28.53311,-16.2641
SC07,GARACHICO,28.31419,-16.80506
SC08,FRONTERA,27.73814,-17.9913
SC09,SAN SEBASTIÁN DE LA GOMERA,28.10942,-17.24836
SC10,BARRANCO DE LAS ANGUSTIAS,28.69792,-17.85652
SC11,BUENAVISTA DEL NORTE,28.29971,-16.82395
SC12,EL PALMAR,28.33787,-16.86243
SC13,REALEJO ALTO,28.34328,-16.58248
SC14,EL PUERTITO,28.16005,-16.71637
SC15,RICASA - LA CONCEPCIÓN,28.17235,-16.72816
SC16,VALLE GRAN REY,28.15505,-17.29984
SE01,LA PRADERA DE NAVALHORNO,40.78889,-4.0037
SE02,RIAZA,41.20524,-3.47267
SE03,NAVAFRÍA,40.98652,-3.81401
SE04,RIAZA,41.20961,-3.41244
SE05,PUENTE DE LA CANTINA,40.81253,-4.05667
SE06,LA PRADERA DE NAVALHORNO,40.87101,-3.97986
SO01,MONTENEGRO DE CAMEROS,42.09636,-2.79023
SO02,NAVALENO,41.90726,-3.02537
SO03,DURUELO DE LA SIERRA,41.98837,-2.92183
SO04,SANTA INÉS,41.99863,-2.84332
SO05,SAN PEDRO MANRIQUE,41.99568,-2.34505
SO06,PINAR GRANDE,41.91442,-2.94477
SO07,DEZA,41.50786,-2.05258
SO08,PÓVEDA DE SORIA,42.05554,-2.5377
SO09,MONTENEGRO DE CAMEROS,42.03855,-2.78499
SV01,CONSTANTINA,37.9195,-5.58908
SV02,RÍO VIAR,37.70954,-5.92438
SV03,KUNG FU,37.64467,-6.15381
SV04,ALGÁMITAS,37.01853,-5.17473
SV05,EL RUBIO / MARINALEDA,37.2734,-4.86708
TA01,LES BORGES DEL CAMP,41.24324,0.97467
TA02,RIUDECANYES,41.12804,0.91698
TA03,L'ESPLUGA DE FRANCOLÍ,41.33148,0.99327
TA04,QUEROL,41.40889,1.41704
TA05,TORTOSA,40.80322,0.34398
TA06,MONTBLANC,41.33841,1.11348
TA07,RIUDECANYES,41.17086,0.90608
TA08,SANT JAUME DELS DOMENYS,41.33695,1.5274
TA09,RIERA DEL COMTE (C-42),40.95172,0.57762
TA10,PRATDIP,41.08555,0.84257
TA11,VILAPLANA,41.25064,1.06232
TA12,PRATDIP,41.04211,0.79861
TE01,VIRGEN DE LA VEGA,40.37986,-0.63343
TE02,NOGUERA,40.4872,-1.57601
TE03,VALACLOCHE / DIRECTA,40.11561,-1.01772
TE04,ORIHUELA DE TREMEDAL,40.5284,-1.65053
TE05,TE-V-9024,40.63776,-1.48839
TE06,PUENTE RÍO GUADALOPE,40.73759,-0.53884
TE07,OLBA,40.17496,-0.62142
TE08,ALIAGA,40.75184,-0.59646
TE09,PUENTE RÍO PITARQUE,40.54241,-0.49295
TE10,ARROYO DE LAS DUEÑAS,40.01657,-1.14287
TE10e,VILLAR DEL COBO,40.42711,-1.72705
TE11,RÍO MARTÍN,40.77586,-0.86024
TE12,VILLAR DEL COBO,40.36657,-1.73418
TE13,TERUEL,40.42217,-0.93959
TE14,PUENTE RÍO PITARQUE,40.65115,-0.61844
TE15,FORTANETE,40.46546,-0.55769
TO02,SAN ROMÁN DE LOS MONTES,40.13707,-4.7247
TO03,RETUERTA DE BULLAQUE,39.52387,-4.35797
TOO1,RÍO MAJADILLAS,39.58488,-4.5273
VA01,GANDÍA,39.00935,-0.26683
VA02,NÁQUERA,39.69123,-0.4002
VA03,VALLADA,38.86006,-0.66723
VA04,VILLALONGA,38.8624,-0.27616
VA05,CHELVA,39.78907,-0.98467
VA06,CORTES DE PALLÁS,39.229181,-0.968131
VA06e,UTIEL,39.63979,-1.1387
VA07,CASINOS / CAMINO DEL BISBE,39.85851,-0.74984
VA08,ADEMUZ,40.01657,-1.14287
VA09,OLOCAU,39.79717,-0.53572
VA10,SEGART,39.6966,-0.38703
VD01,TUDELA DE DUERO,41.56014,-4.55776
VD02,RENEDO DE ESGUEVA,41.64375,-4.59871
VD03,GRANJA MUEDRA,41.74493,-4.59491
ZA01,MURERO,41.09919,-1.55244
ZA02,PURUJOSA,41.71611,-1.81017
ZA03,CARIÑENA,41.33007,-1.34434
ZA04,MORÉS,41.47427,-1.63681
ZA05,MONASTERIO DE VERUELA,41.79264,-1.82069
ZA06,SOS DEL REY CATÓLICO,42.46299,-1.21654
ZA07,MORATA DE JILOCA,41.11292,-1.60193
ZA08,TOSOS,41.32222,-1.08482
ZA09,DAROCA,41.0677,-1.47747
ZA10,HERRERA DE LOS NAVARROS,41.16823,-1.1061
ZM01,PUENTE RÍO TORMES,41.31418,-6.3945
ZM02,HERMISENDE,42.02674,-6.97327
ZM02e,EL PUENTE,42.11005,-6.59092
ZM03,SAN MARTÍN,42.16955,-6.7345
ZM04,VILLARINO DE MANZANAS,41.92434,-6.48674
ZM05,DONEY DE LA REQUEJADA,42.20614,-6.55174
ZM06,LUBIÁN,42.06608,-6.84275
ZM07,LUBIÁN,42.08434,-6.89279